College,Year,Asian,Black or African American,Hispanic,White,"Native Hawaiian or Other Pacific Islander, American Indian or Alaska Native",Two or more races,Unknown race and ethnicity,U.S. Nonresident
Occidental College,2016,0.147,0.064,0.122,0.502,0.0,0.07,0.018,0.078
Occidental College,2017,0.147,0.03,0.135,0.534,0.004,0.089,0.014,0.048
Occidental College,2018,0.158,0.05,0.138,0.483,0.004,0.092,0.007,0.069
Occidental College,2019,0.162,0.02,0.158,0.477,0.0,0.109,0.004,0.071
Occidental College,2020,0.117,0.045,0.182,0.463,0.0,0.119,0.015,0.06
Occidental College,2021,0.123,0.062,0.155,0.49,0.002,0.11,0.011,0.047
Occidental College,2022,0.151,0.032,0.156,0.508,0.0,0.117,0.009,0.026
Occidental College,2023,0.15,0.04,0.18,0.47,0.008,0.1,0.0,0.05
Occidental College,2024,0.19,0.05,0.18,0.43,0.006,0.08,0.0,0.06
Pomona College,2010,0.112,0.055,0.145,0.474,0.0,0.057,0.095,0.062
Pomona College,2011,0.096,0.058,0.152,0.48,0.0,0.063,0.084,0.066
Pomona College,2012,0.13,0.06,0.158,0.406,0.005,0.083,0.063,0.095
Pomona College,2013,0.146,0.045,0.136,0.427,0.0,0.086,0.073,0.086
Pomona College,2014,0.129,0.087,0.124,0.424,0.009,0.071,0.049,0.107
Pomona College,2015,0.142,0.098,0.175,0.328,0.002,0.065,0.065,0.125
Pomona College,2016,0.158,0.107,0.151,0.36,0.007,0.071,0.027,0.119
Pomona College,2017,0.156,0.088,0.187,0.319,0.012,0.073,0.046,0.119
Pomona College,2018,0.15,0.102,0.16,0.359,0.002,0.075,0.039,0.112
Pomona College,2019,0.188,0.094,0.171,0.337,0.01,0.06,0.031,0.111
Pomona College,2020,0.198,0.108,0.165,0.306,0.0,0.075,0.043,0.105
Pomona College,2021,0.153,0.071,0.151,0.328,0.011,0.106,0.035,0.144
Pomona College,2022,0.18,0.141,0.163,0.26,0.005,0.087,0.034,0.131
Pomona College,2023,0.186,0.098,0.186,0.275,0.007,0.098,0.012,0.137
Pomona College,2024,0.213,0.05,0.179,0.294,0.0,0.069,0.05,0.144
Princeton University,2010,0.181,0.073,0.079,0.496,0.002,0.038,0.024,0.107
Princeton University,2011,0.187,0.076,0.071,0.494,0.002,0.047,0.016,0.108
Princeton University,2012,0.223,0.074,0.074,0.452,0.0,0.051,0.015,0.111
Princeton University,2013,0.211,0.082,0.097,0.438,0.002,0.036,0.017,0.118
Princeton University,2014,0.211,0.08,0.092,0.445,0.006,0.04,0.014,0.111
Princeton University,2015,0.219,0.068,0.108,0.42,0.003,0.035,0.014,0.133
Princeton University,2016,0.204,0.078,0.094,0.438,0.002,0.051,0.017,0.116
Princeton University,2017,0.225,0.081,0.11,0.398,0.002,0.048,0.011,0.125
Princeton University,2018,0.217,0.084,0.101,0.401,0.004,0.055,0.013,0.125
Princeton University,2019,0.249,0.073,0.109,0.39,0.004,0.058,0.009,0.109
Princeton University,2020,0.258,0.099,0.086,0.36,0.002,0.071,0.011,0.113
Princeton University,2021,0.212,0.079,0.113,0.376,0.002,0.074,0.02,0.123
Princeton University,2022,0.251,0.086,0.084,0.337,0.003,0.072,0.02,0.148
Princeton University,2023,0.242,0.09,0.098,0.319,0.002,0.07,0.045,0.13
Princeton University,2024,0.238,0.089,0.09,0.313,0.001,0.072,0.077,0.12
Rensselaer Polytechnic Institute,2010,0.089,0.021,0.046,0.724,0.0,0.066,0.012,0.042
Rensselaer Polytechnic Institute,2011,0.094,0.024,0.067,0.664,0.001,0.073,0.009,0.069
Rensselaer Polytechnic Institute,2012,0.098,0.023,0.082,0.639,0.002,0.071,0.028,0.058
Rensselaer Polytechnic Institute,2013,0.12,0.019,0.082,0.602,0.002,0.067,0.018,0.089
Rensselaer Polytechnic Institute,2014,0.105,0.038,0.079,0.582,0.002,0.074,0.006,0.113
Rensselaer Polytechnic Institute,2015,0.086,0.038,0.094,0.558,0.001,0.086,0.014,0.123
Rensselaer Polytechnic Institute,2016,0.131,0.04,0.101,0.533,0.002,0.063,0.015,0.114
Rensselaer Polytechnic Institute,2017,0.144,0.041,0.094,0.476,0.002,0.054,0.014,0.174
Rensselaer Polytechnic Institute,2018,0.176,0.042,0.094,0.459,0.002,0.049,0.013,0.164
Rensselaer Polytechnic Institute,2019,0.171,0.043,0.102,0.401,0.002,0.049,0.052,0.18
Rensselaer Polytechnic Institute,2020,0.165,0.053,0.133,0.41,0.001,0.046,0.051,0.141
Rensselaer Polytechnic Institute,2021,0.202,0.054,0.102,0.428,0.002,0.055,0.045,0.112
Rensselaer Polytechnic Institute,2022,0.234,0.043,0.123,0.434,0.0,0.056,0.062,0.047
Rensselaer Polytechnic Institute,2023,0.229,0.054,0.128,0.44,0.0,0.05,0.042,0.057
Rensselaer Polytechnic Institute,2024,0.209,0.035,0.101,0.513,0.002,0.057,0.042,0.043
Rice University,2010,0.223,0.06,0.107,0.438,0.004,0.053,0.002,0.113
Rice University,2011,0.187,0.068,0.184,0.397,0.001,0.053,0.009,0.1
Rice University,2012,0.223,0.069,0.155,0.388,0.0,0.046,0.017,0.102
Rice University,2013,0.217,0.055,0.166,0.367,0.0,0.044,0.012,0.138
Rice University,2014,0.265,0.084,0.124,0.359,0.002,0.043,0.004,0.118
Rice University,2015,0.257,0.064,0.131,0.367,0.004,0.042,0.018,0.116
Rice University,2016,0.245,0.071,0.157,0.358,0.002,0.034,0.026,0.108
Rice University,2017,0.288,0.073,0.175,0.293,0.004,0.049,0.014,0.105
Rice University,2018,0.24,0.087,0.174,0.314,0.002,0.051,0.009,0.123
Rice University,2019,0.291,0.075,0.162,0.308,0.0,0.048,0.006,0.109
Rice University,2020,0.305,0.078,0.145,0.305,0.001,0.054,0.009,0.103
Rice University,2021,0.305,0.084,0.15,0.262,0.003,0.048,0.019,0.128
Rice University,2022,0.291,0.083,0.166,0.256,0.003,0.05,0.017,0.133
Rice University,2023,0.3,0.08,0.18,0.24,0.0,0.06,0.02,0.13
Rice University,2024,0.29,0.06,0.17,0.26,0.0,0.06,0.03,0.14
Rose-Hulman Institute of Technology,2010,0.042,0.029,0.029,0.783,0.009,0.036,0.007,0.065
Rose-Hulman Institute of Technology,2011,0.032,0.02,0.032,0.81,0.0,0.026,0.002,0.079
Rose-Hulman Institute of Technology,2012,0.043,0.016,0.023,0.789,0.003,0.034,0.008,0.084
Rose-Hulman Institute of Technology,2013,0.036,0.021,0.027,0.758,0.002,0.043,0.0,0.113
Rose-Hulman Institute of Technology,2014,0.04,0.022,0.043,0.703,0.0,0.052,0.0,0.141
Rose-Hulman Institute of Technology,2015,0.051,0.026,0.044,0.706,0.002,0.05,0.0,0.121
Rose-Hulman Institute of Technology,2016,0.057,0.028,0.052,0.663,0.007,0.044,0.002,0.147
Rose-Hulman Institute of Technology,2017,0.052,0.032,0.047,0.655,0.0,0.038,0.02,0.156
Rose-Hulman Institute of Technology,2018,0.06,0.042,0.048,0.625,0.0,0.04,0.022,0.162
Rose-Hulman Institute of Technology,2019,0.062,0.054,0.05,0.665,0.004,0.05,0.032,0.081
Rose-Hulman Institute of Technology,2020,0.066,0.058,0.064,0.672,0.002,0.058,0.011,0.068
Rose-Hulman Institute of Technology,2021,0.082,0.03,0.063,0.705,0.005,0.063,0.008,0.046
Rose-Hulman Institute of Technology,2022,0.08,0.012,0.037,0.726,0.002,0.057,0.013,0.074
Rose-Hulman Institute of Technology,2023,0.067,0.025,0.056,0.71,0.005,0.062,0.005,0.069
Rose-Hulman Institute of Technology,2024,0.089,0.02,0.05,0.651,0.002,0.07,0.005,0.114
Scripps College,2010,0.099,0.042,0.084,0.58,0.004,0.065,0.088,0.038
Scripps College,2011,0.198,0.012,0.066,0.494,0.004,0.086,0.089,0.051
Scripps College,2012,0.213,0.034,0.111,0.417,0.004,0.081,0.102,0.038
Scripps College,2013,0.143,0.026,0.077,0.522,0.0,0.092,0.096,0.044
Scripps College,2014,0.157,0.052,0.129,0.55,0.004,0.004,0.06,0.044
Scripps College,2015,0.144,0.047,0.13,0.466,0.0,0.09,0.058,0.065
Scripps College,2016,0.174,0.052,0.104,0.585,0.004,0.004,0.033,0.044
Scripps College,2017,0.18,0.021,0.153,0.532,0.003,0.037,0.021,0.052
Scripps College,2018,0.123,0.052,0.151,0.548,0.0,0.075,0.016,0.036
Scripps College,2019,0.152,0.032,0.124,0.491,0.0,0.127,0.021,0.053
Scripps College,2020,0.133,0.054,0.148,0.532,0.0,0.089,0.01,0.034
Scripps College,2021,0.13,0.028,0.127,0.579,0.0,0.089,0.016,0.032
Scripps College,2022,0.104,0.054,0.119,0.565,0.0,0.119,0.008,0.031
Scripps College,2023,0.178,0.051,0.12,0.458,0.0,0.127,0.007,0.058
Scripps College,2024,0.166,0.026,0.099,0.537,0.0,0.086,0.022,0.064
Smith College,2010,0.119,0.052,0.09,0.501,0.005,0.043,0.074,0.116
Smith College,2011,0.15,0.039,0.082,0.451,0.001,0.05,0.085,0.141
Smith College,2012,0.112,0.055,0.131,0.453,0.0,0.051,0.086,0.112
Smith College,2013,0.14,0.04,0.098,0.406,0.002,0.047,0.1,0.168
Smith College,2014,0.143,0.049,0.093,0.476,0.002,0.039,0.044,0.156
Smith College,2015,0.1,0.072,0.113,0.409,0.002,0.053,0.092,0.159
Smith College,2016,0.093,0.075,0.11,0.471,0.003,0.052,0.057,0.139
Smith College,2017,0.091,0.067,0.107,0.481,0.002,0.049,0.055,0.149
Smith College,2018,0.098,0.06,0.132,0.485,0.002,0.057,0.029,0.137
Smith College,2019,0.1,0.057,0.136,0.483,0.0,0.051,0.019,0.155
Smith College,2020,0.121,0.072,0.133,0.459,0.008,0.059,0.019,0.129
Smith College,2021,0.095,0.05,0.12,0.51,0.0,0.065,0.007,0.152
Smith College,2022,0.082,0.063,0.121,0.533,0.005,0.055,0.013,0.128
Smith College,2023,0.106,0.046,0.129,0.507,0.0,0.072,0.005,0.134
Smith College,2024,0.091,0.043,0.129,0.454,0.002,0.079,0.045,0.157
Stanford University,2010,0.173,0.073,0.181,0.355,0.016,0.11,0.01,0.083
Stanford University,2011,0.208,0.065,0.171,0.343,0.012,0.114,0.004,0.083
Stanford University,2012,0.192,0.052,0.154,0.402,0.009,0.115,0.003,0.073
Stanford University,2013,0.194,0.058,0.162,0.354,0.016,0.112,0.006,0.098
Stanford University,2014,0.208,0.06,0.159,0.37,0.014,0.112,0.002,0.076
Stanford University,2015,0.224,0.062,0.134,0.364,0.008,0.102,0.003,0.103
Stanford University,2016,0.215,0.075,0.165,0.346,0.015,0.079,0.006,0.099
Stanford University,2017,0.235,0.069,0.146,0.337,0.014,0.088,0.005,0.106
Stanford University,2018,0.228,0.058,0.169,0.314,0.011,0.103,0.004,0.113
Stanford University,2019,0.243,0.068,0.172,0.287,0.013,0.1,0.0,0.116
Stanford University,2020,0.283,0.083,0.179,0.25,0.009,0.095,0.001,0.099
Stanford University,2021,0.273,0.077,0.182,0.237,0.011,0.101,0.002,0.116
Stanford University,2022,0.291,0.073,0.167,0.22,0.013,0.099,0.003,0.134
Stanford University,2023,0.288,0.089,0.167,0.219,0.011,0.088,0.002,0.136
Stanford University,2024,0.27,0.05,0.15,0.22,0.01,0.08,0.08,0.14
Swarthmore College,2010,0.147,0.057,0.126,0.472,0.003,0.067,0.034,0.095
Swarthmore College,2011,0.135,0.065,0.161,0.404,0.003,0.075,0.07,0.088
Swarthmore College,2012,0.151,0.056,0.132,0.455,0.0,0.066,0.053,0.087
Swarthmore College,2013,0.18,0.052,0.144,0.412,0.0,0.082,0.046,0.082
Swarthmore College,2014,0.162,0.064,0.118,0.432,0.005,0.088,0.005,0.125
Swarthmore College,2015,0.192,0.066,0.118,0.408,0.002,0.066,0.02,0.128
Swarthmore College,2016,0.14,0.077,0.135,0.424,0.002,0.063,0.039,0.12
Swarthmore College,2017,0.161,0.069,0.11,0.393,0.003,0.071,0.054,0.14
Swarthmore College,2018,0.159,0.072,0.138,0.374,0.007,0.082,0.034,0.133
Swarthmore College,2019,0.151,0.084,0.137,0.348,0.007,0.084,0.036,0.153
Swarthmore College,2020,0.223,0.08,0.139,0.292,0.0,0.097,0.027,0.142
Swarthmore College,2021,0.161,0.095,0.139,0.317,0.004,0.097,0.026,0.161
Swarthmore College,2022,0.173,0.111,0.134,0.296,0.007,0.106,0.037,0.136
Swarthmore College,2023,0.157,0.089,0.181,0.277,0.005,0.14,0.017,0.135
Swarthmore College,2024,0.173,0.08,0.164,0.326,0.007,0.101,0.035,0.115
The College of New Jersey,2010,0.102,0.051,0.117,0.661,0.002,0.02,0.044,0.004
The College of New Jersey,2011,0.114,0.049,0.121,0.634,0.005,0.013,0.059,0.005
The College of New Jersey,2012,0.11,0.06,0.114,0.635,0.007,0.007,0.064,0.003
The College of New Jersey,2013,0.101,0.045,0.131,0.654,0.004,0.005,0.058,0.002
The College of New Jersey,2014,0.141,0.066,0.127,0.639,0.005,0.001,0.018,0.002
The College of New Jersey,2015,0.114,0.061,0.133,0.642,0.008,0.001,0.037,0.005
The College of New Jersey,2016,0.132,0.056,0.146,0.648,0.0,0.006,0.01,0.002
The College of New Jersey,2017,0.122,0.061,0.141,0.619,0.003,0.007,0.043,0.003
The College of New Jersey,2018,0.139,0.077,0.16,0.578,0.003,0.003,0.036,0.004
The College of New Jersey,2019,0.117,0.052,0.179,0.593,0.002,0.033,0.014,0.01
The College of New Jersey,2020,0.121,0.048,0.169,0.605,0.001,0.033,0.015,0.008
The College of New Jersey,2021,0.113,0.065,0.192,0.556,0.001,0.026,0.038,0.009
The College of New Jersey,2022,0.099,0.069,0.2,0.556,0.001,0.031,0.038,0.006
The College of New Jersey,2023,0.12,0.06,0.19,0.55,0.0,0.04,0.02,0.01
The College of New Jersey,2024,0.1,0.06,0.18,0.59,0.0,0.02,0.04,0.01
Tufts University,2010,0.088,0.053,0.062,0.575,0.0,0.044,0.12,0.059
Tufts University,2011,0.103,0.033,0.073,0.568,0.0,0.043,0.107,0.073
Tufts University,2012,0.108,0.034,0.059,0.567,0.002,0.039,0.094,0.097
Tufts University,2013,0.124,0.037,0.054,0.566,0.0,0.042,0.076,0.1
Tufts University,2014,0.106,0.043,0.074,0.605,0.0,0.052,0.048,0.072
Tufts University,2015,0.119,0.032,0.054,0.614,0.0,0.036,0.038,0.106
Tufts University,2016,0.134,0.048,0.067,0.549,0.0,0.053,0.036,0.114
Tufts University,2017,0.125,0.036,0.074,0.556,0.0,0.053,0.059,0.096
Tufts University,2018,0.149,0.047,0.076,0.523,0.001,0.059,0.042,0.103
Tufts University,2019,0.154,0.043,0.078,0.511,0.001,0.053,0.038,0.12
Tufts University,2020,0.165,0.056,0.106,0.456,0.001,0.068,0.035,0.113
Tufts University,2021,0.153,0.068,0.11,0.422,0.003,0.086,0.037,0.121
Tufts University,2022,0.162,0.073,0.097,0.407,0.0,0.079,0.052,0.13
Tufts University,2023,0.179,0.064,0.092,0.412,0.0,0.1,0.029,0.12
Tufts University,2024,0.171,0.041,0.1,0.427,0.0,0.069,0.058,0.134
Tulane University of Louisiana,2010,0.056,0.031,0.041,0.802,0.001,0.031,0.014,0.023
Tulane University of Louisiana,2011,0.039,0.029,0.047,0.761,0.003,0.024,0.077,0.021
Tulane University of Louisiana,2012,0.038,0.037,0.056,0.798,0.002,0.03,0.022,0.018
Tulane University of Louisiana,2013,0.037,0.032,0.042,0.792,0.003,0.037,0.037,0.02
Tulane University of Louisiana,2014,0.041,0.036,0.061,0.767,0.003,0.036,0.041,0.015
Tulane University of Louisiana,2015,0.037,0.034,0.064,0.739,0.002,0.037,0.057,0.03
Tulane University of Louisiana,2016,0.055,0.043,0.058,0.76,0.002,0.032,0.008,0.043
Tulane University of Louisiana,2017,0.054,0.039,0.071,0.733,0.006,0.038,0.008,0.051
Tulane University of Louisiana,2018,0.053,0.037,0.086,0.724,0.001,0.04,0.01,0.049
Tulane University of Louisiana,2019,0.061,0.051,0.071,0.695,0.001,0.057,0.009,0.055
Tulane University of Louisiana,2020,0.057,0.051,0.093,0.669,0.001,0.043,0.008,0.079
Tulane University of Louisiana,2021,0.057,0.059,0.09,0.681,0.001,0.053,0.009,0.05
Tulane University of Louisiana,2022,0.064,0.062,0.114,0.645,0.001,0.056,0.016,0.042
Tulane University of Louisiana,2023,0.06,0.05,0.13,0.62,0.01,0.06,0.01,0.06
Tulane University of Louisiana,2024,0.05,0.06,0.12,0.63,0.0,0.05,0.03,0.06
United States Air Force Academy,2010,0.08,0.081,0.087,0.691,0.027,0.0,0.022,0.014
United States Air Force Academy,2011,0.073,0.092,0.099,0.669,0.033,0.0,0.025,0.008
United States Air Force Academy,2012,0.045,0.063,0.084,0.699,0.01,0.066,0.014,0.019
United States Air Force Academy,2013,0.047,0.079,0.098,0.579,0.01,0.068,0.108,0.011
United States Air Force Academy,2014,0.043,0.051,0.112,0.636,0.004,0.064,0.076,0.012
United States Air Force Academy,2015,0.05,0.052,0.118,0.594,0.011,0.094,0.073,0.009
United States Air Force Academy,2016,0.056,0.064,0.102,0.639,0.012,0.073,0.044,0.012
United States Air Force Academy,2017,0.058,0.071,0.102,0.639,0.012,0.069,0.036,0.014
United States Air Force Academy,2018,0.064,0.077,0.11,0.619,0.004,0.08,0.03,0.015
United States Air Force Academy,2019,0.056,0.061,0.122,0.656,0.003,0.074,0.018,0.011
United States Air Force Academy,2020,0.085,0.067,0.133,0.617,0.007,0.067,0.011,0.013
United States Air Force Academy,2021,0.072,0.057,0.105,0.655,0.012,0.071,0.011,0.016
United States Air Force Academy,2022,0.076,0.061,0.123,0.601,0.008,0.111,0.006,0.015
United States Air Force Academy,2023,0.086,0.037,0.11,0.654,0.007,0.089,0.005,0.012
United States Air Force Academy,2024,0.092,0.06,0.12,0.606,0.012,0.09,0.005,0.014
United States Naval Academy,2010,0.041,0.076,0.143,0.63,0.014,0.076,0.01,0.01
United States Naval Academy,2011,0.056,0.077,0.113,0.652,0.01,0.075,0.008,0.01
United States Naval Academy,2012,0.064,0.073,0.116,0.627,0.011,0.08,0.014,0.014
United States Naval Academy,2013,0.073,0.07,0.103,0.652,0.01,0.066,0.011,0.015
United States Naval Academy,2014,0.067,0.063,0.121,0.638,0.005,0.082,0.013,0.011
United States Naval Academy,2015,0.073,0.072,0.119,0.624,0.007,0.084,0.01,0.01
United States Naval Academy,2016,0.07,0.064,0.109,0.634,0.008,0.087,0.013,0.014
United States Naval Academy,2017,0.071,0.067,0.12,0.606,0.007,0.106,0.011,0.012
United States Naval Academy,2018,0.07,0.08,0.115,0.617,0.009,0.089,0.009,0.012
United States Naval Academy,2019,0.08,0.072,0.128,0.58,0.003,0.116,0.008,0.013
United States Naval Academy,2020,0.078,0.057,0.124,0.624,0.006,0.09,0.008,0.013
United States Naval Academy,2021,0.099,0.067,0.149,0.568,0.006,0.088,0.009,0.014
United States Naval Academy,2022,0.098,0.063,0.153,0.569,0.004,0.086,0.015,0.01
United States Naval Academy,2023,0.106,0.077,0.151,0.539,0.009,0.09,0.015,0.013
United States Naval Academy,2024,0.111,0.059,0.15,0.541,0.004,0.105,0.014,0.014
University of North Carolina at Chapel Hill,2010,0.084,0.089,0.07,0.7,0.005,0.03,0.004,0.018
University of North Carolina at Chapel Hill,2011,0.086,0.09,0.063,0.691,0.006,0.036,0.006,0.022
University of North Carolina at Chapel Hill,2012,0.1,0.078,0.059,0.671,0.006,0.045,0.022,0.019
University of North Carolina at Chapel Hill,2013,0.103,0.077,0.07,0.634,0.006,0.041,0.049,0.02
University of North Carolina at Chapel Hill,2014,0.107,0.083,0.076,0.63,0.006,0.047,0.027,0.024
University of North Carolina at Chapel Hill,2015,0.108,0.074,0.07,0.629,0.006,0.041,0.042,0.029
University of North Carolina at Chapel Hill,2016,0.106,0.081,0.07,0.63,0.005,0.042,0.045,0.021
University of North Carolina at Chapel Hill,2017,0.114,0.074,0.079,0.615,0.005,0.046,0.04,0.028
University of North Carolina at Chapel Hill,2018,0.118,0.085,0.084,0.562,0.008,0.05,0.041,0.051
University of North Carolina at Chapel Hill,2019,0.124,0.088,0.09,0.559,0.004,0.053,0.034,0.048
University of North Carolina at Chapel Hill,2020,0.138,0.085,0.096,0.554,0.004,0.053,0.025,0.046
University of North Carolina at Chapel Hill,2021,0.136,0.089,0.093,0.537,0.004,0.056,0.024,0.061
University of North Carolina at Chapel Hill,2022,0.164,0.078,0.084,0.551,0.004,0.049,0.025,0.045
University of North Carolina at Chapel Hill,2023,0.16,0.079,0.1,0.522,0.004,0.056,0.023,0.056
University of North Carolina at Chapel Hill,2024,0.183,0.053,0.088,0.527,0.003,0.046,0.04,0.059
University of Rochester,2010,0.111,0.042,0.057,0.595,0.002,0.031,0.034,0.127
University of Rochester,2011,0.112,0.036,0.05,0.529,0.002,0.018,0.1,0.154
University of Rochester,2012,0.098,0.057,0.057,0.493,0.006,0.034,0.101,0.155
University of Rochester,2013,0.095,0.048,0.075,0.48,0.003,0.034,0.082,0.183
University of Rochester,2014,0.114,0.049,0.063,0.481,0.003,0.035,0.043,0.212
University of Rochester,2015,0.123,0.048,0.087,0.449,0.002,0.029,0.07,0.192
University of Rochester,2016,0.112,0.038,0.06,0.457,0.002,0.027,0.051,0.254
University of Rochester,2017,0.094,0.06,0.08,0.39,0.0,0.03,0.043,0.305
University of Rochester,2018,0.106,0.049,0.068,0.396,0.002,0.034,0.025,0.321
University of Rochester,2019,0.129,0.051,0.087,0.435,0.002,0.045,0.032,0.22
University of Rochester,2020,0.149,0.051,0.094,0.419,0.002,0.05,0.015,0.22
University of Rochester,2021,0.193,0.044,0.063,0.4,0.002,0.035,0.027,0.236
University of Rochester,2022,0.214,0.042,0.092,0.346,0.001,0.048,0.028,0.229
University of Rochester,2023,0.18,0.05,0.1,0.36,0.0,0.04,0.03,0.24
University of Rochester,2024,0.18,0.06,0.09,0.36,0.0,0.04,0.03,0.25
University of Southern California,2010,0.249,0.057,0.132,0.409,0.004,0.042,0.002,0.105
University of Southern California,2011,0.243,0.05,0.121,0.377,0.003,0.054,0.004,0.148
University of Southern California,2012,0.236,0.042,0.124,0.404,0.001,0.053,0.037,0.102
University of Southern California,2013,0.206,0.041,0.128,0.388,0.001,0.054,0.029,0.152
University of Southern California,2014,0.213,0.045,0.12,0.36,0.006,0.061,0.03,0.165
University of Southern California,2015,0.207,0.049,0.131,0.397,0.002,0.055,0.012,0.146
University of Southern California,2016,0.198,0.053,0.133,0.405,0.004,0.06,0.01,0.138
University of Southern California,2017,0.208,0.048,0.148,0.378,0.004,0.07,0.006,0.138
University of Southern California,2018,0.22,0.051,0.162,0.36,0.002,0.066,0.006,0.134
University of Southern California,2019,0.232,0.062,0.15,0.323,0.003,0.062,0.024,0.143
University of Southern California,2020,0.271,0.059,0.173,0.304,0.003,0.057,0.014,0.12
University of Southern California,2021,0.238,0.089,0.2,0.264,0.004,0.062,0.015,0.128
University of Southern California,2022,0.223,0.076,0.175,0.252,0.006,0.071,0.021,0.176
University of Southern California,2023,0.223,0.078,0.201,0.233,0.004,0.079,0.015,0.166
University of Southern California,2024,0.175,0.066,0.188,0.212,0.004,0.054,0.13,0.171
University of Virginia,2010,0.138,0.069,0.054,0.583,0.001,0.04,0.052,0.064
University of Virginia,2011,0.135,0.063,0.06,0.608,0.001,0.046,0.023,0.065
University of Virginia,2012,0.113,0.055,0.05,0.619,0.002,0.044,0.058,0.058
University of Virginia,2013,0.117,0.058,0.056,0.609,0.001,0.044,0.057,0.057
University of Virginia,2014,0.13,0.063,0.066,0.607,0.001,0.049,0.045,0.04
University of Virginia,2015,0.139,0.066,0.058,0.571,0.002,0.043,0.069,0.051
University of Virginia,2016,0.141,0.073,0.064,0.574,0.002,0.039,0.06,0.046
University of Virginia,2017,0.149,0.07,0.063,0.567,0.002,0.045,0.063,0.042
University of Virginia,2018,0.159,0.065,0.061,0.56,0.003,0.054,0.055,0.042
University of Virginia,2019,0.165,0.068,0.064,0.547,0.001,0.052,0.052,0.051
University of Virginia,2020,0.172,0.071,0.071,0.538,0.001,0.055,0.053,0.038
University of Virginia,2021,0.185,0.064,0.064,0.523,0.001,0.059,0.056,0.048
University of Virginia,2022,0.2,0.081,0.075,0.474,0.002,0.058,0.056,0.054
University of Virginia,2023,0.219,0.082,0.071,0.467,0.003,0.058,0.049,0.052
University of Virginia,2024,0.202,0.072,0.09,0.462,0.001,0.056,0.063,0.052
Vanderbilt University,2010,0.062,0.089,0.09,0.629,0.006,0.052,0.015,0.056
Vanderbilt University,2011,0.078,0.08,0.078,0.628,0.001,0.056,0.021,0.058
Vanderbilt University,2012,0.092,0.079,0.076,0.629,0.002,0.048,0.014,0.059
Vanderbilt University,2013,0.104,0.086,0.084,0.531,0.008,0.053,0.073,0.06
Vanderbilt University,2014,0.127,0.095,0.094,0.535,0.005,0.043,0.032,0.07
Vanderbilt University,2015,0.134,0.096,0.101,0.479,0.006,0.05,0.058,0.075
Vanderbilt University,2016,0.138,0.107,0.104,0.475,0.009,0.053,0.039,0.076
Vanderbilt University,2017,0.147,0.125,0.108,0.419,0.012,0.059,0.049,0.082
Vanderbilt University,2018,0.15,0.119,0.101,0.399,0.007,0.056,0.045,0.124
Vanderbilt University,2019,0.15,0.117,0.097,0.415,0.006,0.051,0.045,0.119
Vanderbilt University,2020,0.188,0.115,0.11,0.397,0.005,0.058,0.04,0.087
Vanderbilt University,2021,0.169,0.119,0.127,0.374,0.008,0.06,0.04,0.104
Vanderbilt University,2022,0.18,0.11,0.119,0.375,0.011,0.062,0.038,0.105
Vanderbilt University,2023,0.19,0.115,0.129,0.363,0.005,0.062,0.03,0.107
Vanderbilt University,2024,0.185,0.061,0.094,0.413,0.001,0.056,0.066,0.123
Villanova University,2010,0.058,0.039,0.068,0.776,0.001,0.021,0.008,0.029
Villanova University,2011,0.058,0.042,0.077,0.742,0.0,0.025,0.029,0.027
Villanova University,2012,0.063,0.042,0.082,0.733,0.0,0.03,0.02,0.031
Villanova University,2013,0.084,0.034,0.064,0.766,0.001,0.02,0.019,0.011
Villanova University,2014,0.084,0.039,0.085,0.745,0.001,0.023,0.008,0.015
Villanova University,2015,0.073,0.056,0.084,0.739,0.0,0.023,0.01,0.015
Villanova University,2016,0.055,0.047,0.069,0.76,0.0,0.031,0.023,0.015
Villanova University,2017,0.054,0.039,0.077,0.765,0.001,0.026,0.006,0.033
Villanova University,2018,0.049,0.044,0.08,0.753,0.001,0.03,0.01,0.033
Villanova University,2019,0.072,0.045,0.104,0.709,0.001,0.033,0.008,0.03
Villanova University,2020,0.083,0.047,0.11,0.689,0.002,0.04,0.011,0.018
Villanova University,2021,0.066,0.063,0.11,0.687,0.001,0.04,0.015,0.018
Villanova University,2022,0.078,0.055,0.127,0.662,0.001,0.044,0.013,0.02
Villanova University,2023,0.072,0.041,0.103,0.714,0.001,0.036,0.014,0.021
Villanova University,2024,0.058,0.055,0.118,0.69,0.001,0.044,0.02,0.015
Wake Forest University,2010,0.044,0.067,0.062,0.774,0.001,0.031,0.0,0.022
Wake Forest University,2011,0.05,0.067,0.053,0.78,0.002,0.028,0.0,0.019
Wake Forest University,2012,0.056,0.065,0.065,0.75,0.002,0.019,0.0,0.045
Wake Forest University,2013,0.038,0.06,0.065,0.75,0.002,0.033,0.0,0.052
Wake Forest University,2014,0.049,0.062,0.072,0.685,0.002,0.023,0.005,0.101
Wake Forest University,2015,0.043,0.064,0.062,0.695,0.002,0.033,0.0,0.101
Wake Forest University,2016,0.034,0.063,0.07,0.701,0.002,0.028,0.0,0.102
Wake Forest University,2017,0.03,0.068,0.069,0.7,0.001,0.031,0.0,0.101
Wake Forest University,2018,0.038,0.053,0.085,0.67,0.001,0.044,0.0,0.108
Wake Forest University,2019,0.031,0.059,0.077,0.695,0.001,0.044,0.0,0.093
